question,answer,topic,source_file
What is (are) Oral Cancer ?,"Oral cancer can form in any part of the mouth or throat. Most oral cancers begin in the tongue and in the floor of the mouth. Anyone can get oral cancer, but the risk is higher if you are male, over age 40, use tobacco or alcohol or have a history of head or neck cancer. Frequent sun exposure is also a risk for lip cancer. Symptoms of oral cancer include - White or red patches in your mouth - A mouth sore that won't heal - Bleeding in your mouth - Loose teeth - Problems or pain with swallowing - A lump in your neck - An earache Oral cancer treatments may include surgery, radiation therapy or chemotherapy. Some patients have a combination of treatments. NIH: National Cancer Institute",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000662.xml
Do you have information about Organ Donation,"Summary : Organ donation takes healthy organs and tissues from one person for transplantation into another. Experts say that the organs from one donor can save or help as many as 50 people. Organs you can donate include - Internal organs: Kidneys, heart, liver, pancreas, intestines, lungs - Skin - Bone and bone marrow - Cornea Most organ and tissue donations occur after the donor has died. But some organs and tissues can be donated while the donor is alive. People of all ages and background can be organ donors. If you are under age 18, your parent or guardian must give you permission to become a donor. If you are 18 or older you can show you want to be a donor by signing a donor card. You should also let your family know your wishes. Health Resources and Services Administration",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000663.xml
Do you have information about Organ Transplantation,"Summary : You may need an organ transplant if one of your organs has failed. This can happen because of illness or injury. When you have an organ transplant, doctors remove an organ from another person and place it in your body. The organ may come from a living donor or a donor who has died. The organs that can be transplanted include - Heart - Intestine - Kidney - Liver - Lung - Pancreas You often have to wait a long time for an organ transplant. Doctors must match donors to recipients to reduce the risk of transplant rejection. Rejection happens when your immune system attacks the new organ. If you have a transplant, you must take drugs the rest of your life to help keep your body from rejecting the new organ.",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000664.xml
Do you have information about Orthodontia,"Summary : Some people have naturally straight teeth that fit together. But if you have problems with your bite or the spacing of your teeth, you may need orthodontic care. Orthodontia is the branch of dentistry that deals with abnormalities of the teeth and jaw. Orthodontic care involves the use of devices, such as braces, to - Straighten teeth - Correct problems with bite - Close gaps between teeth - Align lips and teeth properly Most people who receive orthodontic care are kids, but adults get braces, too. In young children, orthodontic treatment may guide proper jaw growth. This can help permanent teeth to come in properly. Straight permanent teeth can help prevent tooth problems later on.",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000665.xml
What is (are) Osteoarthritis ?,"Osteoarthritis is the most common form of arthritis. It causes pain, swelling, and reduced motion in your joints. It can occur in any joint, but usually it affects your hands, knees, hips or spine. Osteoarthritis breaks down the cartilage in your joints. Cartilage is the slippery tissue that covers the ends of bones in a joint. Healthy cartilage absorbs the shock of movement. When you lose cartilage, your bones rub together. Over time, this rubbing can permanently damage the joint. Risk factors for osteoarthritis include - Being overweight - Getting older - Injuring a joint No single test can diagnose osteoarthritis. Most doctors use several methods, including medical history, a physical exam, x-rays, or lab tests. Treatments include exercise, medicines, and sometimes surgery. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000666.xml
What is (are) Osteogenesis Imperfecta ?,"Osteogenesis imperfecta (OI) is a genetic disorder in which bones break easily. Sometimes the bones break for no known reason. OI can also cause weak muscles, brittle teeth, a curved spine, and hearing loss. OI is caused by one of several genes that aren't working properly. When these genes don't work, it affects how you make collagen, a protein that helps make bones strong. OI can range from mild to severe, and symptoms vary from person to person. A person may have just a few or as many as several hundred fractures in a lifetime. No single test can identify OI. Your doctor uses your medical and family history, physical exam, and imaging and lab tests to diagnose it. Your doctor may also test your collagen (from skin) or genes (from blood). There is no cure, but you can manage symptoms. Treatments include exercise, pain medicine, physical therapy, wheelchairs, braces, and surgery. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000667.xml
What is (are) Osteonecrosis ?,"Osteonecrosis is a disease caused by reduced blood flow to bones in the joints. In people with healthy bones, new bone is always replacing old bone. In osteonecrosis, the lack of blood causes the bone to break down faster than the body can make enough new bone. The bone starts to die and may break down. You can have osteonecrosis in one or several bones. It is most common in the upper leg. Other common sites are your upper arm and your knees, shoulders and ankles. The disease can affect men and women of any age, but it usually strikes in your thirties, forties or fifties. At first, you might not have any symptoms. As the disease gets worse, you will probably have joint pain that becomes more severe. You may not be able to bend or move the affected joint very well. No one is sure what causes the disease. Risk factors include - Long-term steroid treatment - Alcohol abuse - Joint injuries - Having certain diseases, including arthritis and cancer Doctors use imaging tests and other tests to diagnose osteonecrosis. Treatments include medicines, using crutches, limiting activities that put weight on the affected joints, electrical stimulation and surgery. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000668.xml
What is (are) Osteoporosis ?,"Osteoporosis makes your bones weak and more likely to break. Anyone can develop osteoporosis, but it is common in older women. As many as half of all women and a quarter of men older than 50 will break a bone due to osteoporosis. Risk factors include - Getting older - Being small and thin - Having a family history of osteoporosis - Taking certain medicines - Being a white or Asian woman - Having osteopenia, which is low bone density Osteoporosis is a silent disease. You might not know you have it until you break a bone. A bone mineral density test is the best way to check your bone health. To keep bones strong, eat a diet rich in calcium and vitamin D, exercise and do not smoke. If needed, medicines can also help. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000669.xml
Do you have information about Ostomy,"Summary : An ostomy is surgery to create an opening (stoma) from an area inside the body to the outside. It treats certain diseases of the digestive or urinary systems. It can be permanent, when an organ must be removed. It can be temporary, when the organ needs time to heal. The organ could be the small intestine, colon, rectum, or bladder. With an ostomy, there must be a new way for wastes to leave the body. There are many different types of ostomy. Some examples are - Ileostomy - the bottom of the small intestine (ileum) is attached to the stoma. This bypasses the colon, rectum and anus. - Colostomy - the colon is attached to the stoma. This bypasses the rectum and the anus. - Urostomy - the tubes that carry urine to the bladder are attached to the stoma. This bypasses the bladder. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000670.xml
What is (are) Ovarian Cancer ?,"The ovaries are part of the female reproductive system. They produce a woman's eggs and female hormones. Each ovary is about the size and shape of an almond. Cancer of the ovary is not common, but it causes more deaths than other female reproductive cancers. The sooner ovarian cancer is found and treated, the better your chance for recovery. But ovarian cancer is hard to detect early. Women with ovarian cancer may have no symptoms or just mild symptoms until the disease is in an advanced stage. Then it is hard to treat. Symptoms may include - A heavy feeling in the pelvis - Pain in the lower abdomen - Bleeding from the vagina - Weight gain or loss - Abnormal periods - Unexplained back pain that gets worse - Gas, nausea, vomiting, or loss of appetite To diagnose ovarian cancer, doctors do one or more tests. They include a physical exam, a pelvic exam, lab tests, ultrasound, or a biopsy. Treatment is usually surgery followed by chemotherapy. NIH: National Cancer Institute",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000671.xml
What is (are) Ovarian Cysts ?,"A cyst is a fluid-filled sac. In most cases a cyst on the ovary does no harm and goes away by itself. Most women have them sometime during their lives. Cysts are rarely cancerous in women under 50. Cysts sometimes hurt - but not always. Often, a woman finds out about a cyst when she has a pelvic exam. If you're in your childbearing years or past menopause, have no symptoms, and have a fluid-filled cyst, you may choose to monitor the cyst. You may need surgery if you have pain, are past menopause or if the cyst does not go away. Birth control pills can help prevent new cysts. A health problem that may involve ovarian cysts is polycystic ovary syndrome (PCOS). Women with PCOS can have high levels of male hormones, irregular or no periods and small ovarian cysts. Dept. of Health and Human Services Office on Women's Health",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000672.xml
What is (are) Ovarian Disorders ?,"The ovaries are a pair of organs that women have. They are located in the pelvis, one on each side of the uterus. Each ovary is about the size and shape of an almond. The ovaries produce a woman's eggs. If an egg is fertilized by a sperm, a pregnancy can result. Ovaries also make the female hormones estrogen and progesterone. When a woman goes through menopause, her ovaries stop releasing eggs and make far lower levels of hormones. Problems with the ovaries include - Ovarian cancer - Ovarian cysts and polycystic ovary syndrome - Premature ovarian failure - Ovarian torsion, a twisting of the ovary",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000673.xml
Do you have information about Over-the-Counter Medicines,"Summary : Over-the-counter (OTC) medicines are drugs you can buy without a prescription. Some OTC medicines relieve aches, pains and itches. Some prevent or cure diseases, like tooth decay and athlete's foot. Others help manage recurring problems, like migraines. In the United States, the Food and Drug Administration decides whether a medicine is safe enough to sell over-the-counter. Taking OTC medicines still has risks. Some interact with other medicines, supplements, foods or drinks. Others cause problems for people with certain medical conditions. If you're pregnant, talk to your health care provider before taking any medicines. It is important to take medicines correctly, and be careful when giving them to children. More medicine does not necessarily mean better. You should never take OTC medicines longer or in higher doses than the label recommends. If your symptoms don't go away, it's a clear signal that it's time to see your healthcare provider. Food and Drug Administration",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000674.xml
What is (are) Overactive Bladder ?,"Overactive bladder is a condition in which the bladder squeezes urine out at the wrong time. You may have overactive bladder if you have two or more of these symptoms: - You urinate eight or more times a day or two or more times at night - You have the sudden, strong need to urinate immediately - You leak urine after a sudden, strong urge to urinate You also may have incontinence, a loss of bladder control. Nerve problems, too much fluid, or too much caffeine can cause it. Often the cause is unknown. Your doctor may prescribe a medicine that can calm muscles and nerves. The medicine may come as a pill, a liquid, or a patch. The medicines can cause your eyes to become dry. They can also cause dry mouth and constipation. To deal with these effects, use eye drops to keep your eyes moist, chew sugarless gum or suck on sugarless hard candy if dry mouth bothers you, and take small sips of water throughout the day. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000675.xml
What is (are) Oxygen Therapy ?,"Oxygen therapy is a treatment that provides you with extra oxygen. Oxygen is a gas that your body needs to function. Normally, your lungs absorb oxygen from the air you breathe. But some conditions can prevent you from getting enough oxygen. You may need oxygen if you have - COPD (chronic obstructive pulmonary disease) - Pneumonia - A severe asthma attack - Late-stage heart failure - Cystic fibrosis - Sleep apnea The oxygen comes through nasal prongs, a mask, or a breathing tube. If you have a chronic problem, you may have a portable oxygen tank or a machine in your home. A different kind of oxygen therapy is called hyperbaric oxygen therapy. It uses oxygen at high pressure to treat wounds and serious infections. NIH: National Heart, Lung, and Blood Institute",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000676.xml
Do you have information about Ozone,"Summary : Ozone is a gas. It can be good or bad, depending on where it is. ""Good"" ozone occurs naturally about 10 to 30 miles above the Earth's surface. It shields us from the sun's ultraviolet rays. Part of the good ozone layer is gone. Man-made chemicals have destroyed it. Without enough good ozone, people may get too much ultraviolet radiation. This may increase the risk of skin cancer, cataracts, and immune system problems. ""Bad"" ozone is at ground level. It forms when pollutants from cars, factories, and other sources react chemically with sunlight. It is the main ingredient in smog. It is usually worst in the summer. Breathing bad ozone can be harmful. It can cause coughing, throat irritation, worsening of asthma, bronchitis, and emphysema. It can lead to permanent lung damage, if you are regularly exposed to it. Environmental Protection Agency",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000677.xml
Do you have information about Pacemakers and Implantable Defibrillators,"Summary : An arrhythmia is any disorder of your heart rate or rhythm. It means that your heart beats too quickly, too slowly, or with an irregular pattern. Most arrhythmias result from problems in the electrical system of the heart. If your arrhythmia is serious, you may need a cardiac pacemaker or an implantable cardioverter defibrillator (ICD). They are devices that are implanted in your chest or abdomen. A pacemaker helps control abnormal heart rhythms. It uses electrical pulses to prompt the heart to beat at a normal rate. It can speed up a slow heart rhythm, control a fast heart rhythm, and coordinate the chambers of the heart. An ICD monitors heart rhythms. If it senses dangerous rhythms, it delivers shocks. This treatment is called defibrillation. An ICD can help control life-threatening arrhythmias, especially those that can cause sudden cardiac arrest (SCA). Most new ICDs can act as both a pacemaker and a defibrillator. Many ICDs also record the heart's electrical patterns when there is an abnormal heartbeat. This can help the doctor plan future treatment. Getting a pacemaker or ICD requires minor surgery. You usually need to stay in the hospital for a day or two, so your doctor can make sure that the device is working well. You will probably be back to your normal activities within a few days.",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000678.xml
What is (are) Paget's Disease of Bone ?,"Paget's disease of bone causes your bones to grow too large and weak. They also might break easily. The disease can lead to other health problems, too, such as arthritis and hearing loss. You can have Paget's disease in any bone, but it is most common in the spine, pelvis, skull, and legs. The disease might affect one or several bones, but not your entire skeleton. More men than women have the disease. It is most common in older people. No one knows what causes Paget's disease. In some cases, a virus might be responsible. It tends to run in families. Many people do not know they have Paget's disease because their symptoms are mild. For others, symptoms can include - Pain - Enlarged bones - Broken bones - Damaged cartilage in joints Doctors use blood tests and imaging tests to diagnose Paget's disease. Early diagnosis and treatment can prevent some symptoms from getting worse. Treatments include medicines and sometimes surgery. A good diet and exercise might also help. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000679.xml
What is (are) Pain ?,"Pain is a feeling triggered in the nervous system. Pain may be sharp or dull. It may come and go, or it may be constant. You may feel pain in one area of your body, such as your back, abdomen or chest or you may feel pain all over, such as when your muscles ache from the flu. Pain can be helpful in diagnosing a problem. Without pain, you might seriously hurt yourself without knowing it, or you might not realize you have a medical problem that needs treatment. Once you take care of the problem, pain usually goes away. However, sometimes pain goes on for weeks, months or even years. This is called chronic pain. Sometimes chronic pain is due to an ongoing cause, such as cancer or arthritis. Sometimes the cause is unknown. Fortunately, there are many ways to treat pain. Treatment varies depending on the cause of pain. Pain relievers, acupuncture and sometimes surgery are helpful.",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000680.xml
Do you have information about Pain Relievers,"Summary : Pain relievers are medicines that reduce or relieve headaches, sore muscles, arthritis, or other aches and pains. There are many different pain medicines, and each one has advantages and risks. Some types of pain respond better to certain medicines than others. Each person may also have a slightly different response to a pain reliever. Over-the-counter (OTC) medicines are good for many types of pain. There are two main types of OTC pain medicines: acetaminophen (Tylenol) and nonsteroidal anti-inflammatory drugs (NSAIDs). Aspirin, naproxen (Aleve), and ibuprofen (Advil, Motrin) are examples of OTC NSAIDs. If OTC medicines don't relieve your pain, your doctor may prescribe something stronger. Many NSAIDs are also available at higher prescription doses. The most powerful pain relievers are narcotics. They are very effective, but they can sometimes have serious side effects. Because of the risks, you must use them only under a doctor's supervision. There are many things you can do to help ease pain. Pain relievers are just one part of a pain treatment plan.",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000681.xml
Do you have information about Palliative Care,"Summary : Palliative care is treatment of the discomfort, symptoms, and stress of serious illness. It provides relief from distressing symptoms including - Pain - Shortness of breath - Fatigue - Constipation - Nausea - Loss of appetite - Problems with sleep It can also help you deal with the side effects of the medical treatments you're receiving. Hospice care, care at the end of life, always includes palliative care. But you may receive palliative care at any stage of an illness. The goal is to make you comfortable and improve your quality of life. NIH: National Institute of Nursing Research",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000682.xml
Do you have information about Pancreas Transplantation,"Summary : The pancreas is a gland behind your stomach and in front of your spine. It produces the juices that help break down food and the hormones that help control blood sugar levels. A pancreas transplant is surgery to place a healthy pancreas from a donor into a person with a diseased pancreas. It is mostly done for people with severe type 1 diabetes. It can allow them to give up insulin shots. An experimental procedure called islet cell transplantation transplants only the parts of the pancreas that make insulin. People who have transplants must take drugs to keep their body from rejecting the new pancreas for the rest of their lives. They must also have regular follow-up care. Because of the risks, it is not a common treatment for type 1 diabetes.",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000683.xml
What is (are) Pancreatic Cancer ?,"The pancreas is a gland behind your stomach and in front of your spine. It produces the juices that help break down food and the hormones that help control blood sugar levels. Pancreatic cancer usually begins in the cells that produce the juices. Some risk factors for developing pancreatic cancer include - Smoking - Long-term diabetes - Chronic pancreatitis - Certain hereditary disorders Pancreatic cancer is hard to catch early. It doesn't cause symptoms right away. When you do get symptoms, they are often vague or you may not notice them. They include yellowing of the skin and eyes, pain in the abdomen and back, weight loss and fatigue. Also, because the pancreas is hidden behind other organs, health care providers cannot see or feel the tumors during routine exams. Doctors use a physical exam, blood tests, imaging tests, and a biopsy to diagnose it. Because it is often found late and it spreads quickly, pancreatic cancer can be hard to treat. Possible treatments include surgery, radiation, chemotherapy, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. NIH: National Cancer Institute",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000684.xml
What is (are) Pancreatic Diseases ?,"The pancreas is a gland behind your stomach and in front of your spine. It produces juices that help break down food and hormones that help control blood sugar levels. Problems with the pancreas can lead to many health problems. These include - Pancreatitis, or inflammation of the pancreas: This happens when digestive enzymes start digesting the pancreas itself - Pancreatic cancer - Cystic fibrosis, a genetic disorder in which thick, sticky mucus can also block tubes in your pancreas The pancreas also plays a role in diabetes. In type 1 diabetes, the beta cells of the pancreas no longer make insulin because the body's immune system has attacked them. In type 2 diabetes, the pancreas loses the ability to secrete enough insulin in response to meals.",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000685.xml
What is (are) Pancreatitis ?,"The pancreas is a large gland behind the stomach and close to the first part of the small intestine. It secretes digestive juices into the small intestine through a tube called the pancreatic duct. The pancreas also releases the hormones insulin and glucagon into the bloodstream. Pancreatitis is inflammation of the pancreas. It happens when digestive enzymes start digesting the pancreas itself. Pancreatitis can be acute or chronic. Either form is serious and can lead to complications. Acute pancreatitis occurs suddenly and usually goes away in a few days with treatment. It is often caused by gallstones. Common symptoms are severe pain in the upper abdomen, nausea, and vomiting. Treatment is usually a few days in the hospital for intravenous (IV) fluids, antibiotics, and medicines to relieve pain. Chronic pancreatitis does not heal or improve. It gets worse over time and leads to permanent damage. The most common cause is heavy alcohol use. Other causes include cystic fibrosis and other inherited disorders, high levels of calcium or fats in the blood, some medicines, and autoimmune conditions. Symptoms include nausea, vomiting, weight loss, and oily stools. Treatment may also be a few days in the hospital for intravenous (IV) fluids, medicines to relieve pain, and nutritional support. After that, you may need to start taking enzymes and eat a special diet. It is also important to not smoke or drink alcohol. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000686.xml
What is (are) Panic Disorder ?,"Panic disorder is a type of anxiety disorder. It causes panic attacks, which are sudden feelings of terror when there is no real danger. You may feel as if you are losing control. You may also have physical symptoms, such as - Fast heartbeat - Chest or stomach pain - Breathing difficulty - Weakness or dizziness - Sweating - Feeling hot or a cold chill - Tingly or numb hands Panic attacks can happen anytime, anywhere, and without warning. You may live in fear of another attack and may avoid places where you have had an attack. For some people, fear takes over their lives and they cannot leave their homes. Panic disorder is more common in women than men. It usually starts when people are young adults. Sometimes it starts when a person is under a lot of stress. Most people get better with treatment. Therapy can show you how to recognize and change your thinking patterns before they lead to panic. Medicines can also help. NIH: National Institute of Mental Health",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000687.xml
What is (are) Paralysis ?,"Paralysis is the loss of muscle function in part of your body. It happens when something goes wrong with the way messages pass between your brain and muscles. Paralysis can be complete or partial. It can occur on one or both sides of your body. It can also occur in just one area, or it can be widespread. Paralysis of the lower half of your body, including both legs, is called paraplegia. Paralysis of the arms and legs is quadriplegia. Most paralysis is due to strokes or injuries such as spinal cord injury or a broken neck. Other causes of paralysis include - Nerve diseases such as amyotrophic lateral sclerosis - Autoimmune diseases such as Guillain-Barre syndrome - Bell's palsy, which affects muscles in the face Polio used to be a cause of paralysis, but polio no longer occurs in the U.S.",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000688.xml
What is (are) Parasitic Diseases ?,"Parasites are living things that use other living things - like your body - for food and a place to live. You can get them from contaminated food or water, a bug bite, or sexual contact. Some parasitic diseases are easily treated and some are not. Parasites range in size from tiny, one-celled organisms called protozoa to worms that can be seen with the naked eye. Some parasitic diseases occur in the United States. Contaminated water supplies can lead to Giardia infections. Cats can transmit toxoplasmosis, which is dangerous for pregnant women. Others, like malaria, are common in other parts of the world. If you are traveling, it's important to drink only water you know is safe. Prevention is especially important. There are no vaccines for parasitic diseases. Some medicines are available to treat parasitic infections.",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000689.xml
What is (are) Parathyroid Disorders ?,"Most people have four pea-sized glands, called parathyroid glands, on the thyroid gland in the neck. Though their names are similar, the thyroid and parathyroid glands are completely different. The parathyroid glands make parathyroid hormone (PTH), which helps your body keep the right balance of calcium and phosphorous. If your parathyroid glands make too much or too little hormone, it disrupts this balance. If they secrete extra PTH, you have hyperparathyroidism, and your blood calcium rises. In many cases, a benign tumor on a parathyroid gland makes it overactive. Or, the extra hormones can come from enlarged parathyroid glands. Very rarely, the cause is cancer. If you do not have enough PTH, you have hypoparathyroidism. Your blood will have too little calcium and too much phosphorous. Causes include injury to the glands, endocrine disorders, or genetic conditions. Treatment is aimed at restoring the balance of calcium and phosphorous. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000690.xml
What is (are) Parenting ?,"If you're a parent, you get plenty of suggestions on how to raise your child. From experts to other parents, people are always ready to offer advice. Parenting tips, parents' survival guides, dos, don'ts, shoulds and shouldn'ts - new ones come out daily. The truth is there is more than one ""right"" way to be a good parent. Good parenting includes - Keeping your child safe - Showing affection and listening to your child - Providing order and consistency - Setting and enforcing limits - Spending time with your child - Monitoring your child's friendships and activities - Leading by example NIH: National Institute of Child Health and Human Development",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000691.xml
What is (are) Parkinson's Disease ?,"Parkinson's disease (PD) is a type of movement disorder. It happens when nerve cells in the brain don't produce enough of a brain chemical called dopamine. Sometimes it is genetic, but most cases do not seem to run in families. Exposure to chemicals in the environment might play a role. Symptoms begin gradually, often on one side of the body. Later they affect both sides. They include - Trembling of hands, arms, legs, jaw and face - Stiffness of the arms, legs and trunk - Slowness of movement - Poor balance and coordination As symptoms get worse, people with the disease may have trouble walking, talking, or doing simple tasks. They may also have problems such as depression, sleep problems, or trouble chewing, swallowing, or speaking. There is no lab test for PD, so it can be difficult to diagnose. Doctors use a medical history and a neurological examination to diagnose it. PD usually begins around age 60, but it can start earlier. It is more common in men than in women. There is no cure for PD. A variety of medicines sometimes help symptoms dramatically. Surgery and deep brain stimulation (DBS) can help severe cases. With DBS, electrodes are surgically implanted in the brain. They send electrical pulses to stimulate the parts of the brain that control movement. NIH: National Institute of Neurological Disorders and Stroke",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000692.xml
Do you have information about Patient Rights,"Summary : As a patient, you have certain rights. Some are guaranteed by federal law, such as the right to get a copy of your medical records, and the right to keep them private. Many states have additional laws protecting patients, and healthcare facilities often have a patient bill of rights. An important patient right is informed consent. This means that if you need a treatment, your health care provider must give you the information you need to make a decision. Many hospitals have patient advocates who can help you if you have problems. Many states have an ombudsman office for problems with long term care. Your state's department of health may also be able to help.",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000693.xml
Do you have information about Patient Safety,"Summary : You can help prevent medical errors by being an active member of your health care team. Research shows that patients who are more involved with their care tend to get better results. To reduce the risk of medical errors, you can - Ask questions if you have doubts or concerns. Take a relative or friend to your doctor appointment to help you ask questions and understand answers. - Make sure you understand what will happen if you need surgery - Tell your health care providers about all the medicines you take, including over-the-counter drugs and dietary supplements. Tell them if you have any allergies or bad reactions to anesthesia. Make sure you know how to take your medications correctly. - Get a second opinion about treatment options - Keep a copy of your own health history Agency for Healthcare Research and Quality",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000694.xml
What is (are) Pelvic Inflammatory Disease ?,"Pelvic inflammatory disease (PID) is an infection and inflammation of the uterus, ovaries, and other female reproductive organs. It causes scarring in these organs. This can lead to infertility, ectopic pregnancy, pelvic pain, abscesses, and other serious problems. PID is the most common preventable cause of infertility in the United States. Gonorrhea and chlamydia, two sexually transmitted diseases, are the most common causes of PID. Other bacteria can also cause it. You are at greater risk if you - Are sexually active and younger than 25 - Have more than one sex partner - Douche Some women have no symptoms. Others have pain in the lower abdomen, fever, smelly vaginal discharge, irregular bleeding, and pain during intercourse or urination. Doctors diagnose PID with a physical exam, lab tests, and imaging tests. Antibiotics can cure PID. Early treatment is important. Waiting too long increases the risk of infertility. NIH: National Institute of Allergy and Infectious Diseases",4_MPlus_Health_Topics_QA,/content/drive/MyDrive/FIAP_PosTech/Tech_Challenge_3/data/raw/medquad/4_MPlus_Health_Topics_QA/0000695.xml
